year,crop,region,sort,area,production,kg/10a,areaLQ,productionLQ
2000,상추,미탄면,엽채류,0,0,0,0,0
2000,상추,방림면,엽채류,7.6,201.4,2650,0.221473632,0.211191735
2000,상추,봉평면,엽채류,5.4,143,2648.1,0.172399225,0.160027274
2000,상추,용평면,엽채류,1.9,50.4,2652.6,0.065165811,0.058169623
2000,상추,진부면,엽채류,72,1908,2650,1.249537488,1.037076948
2000,상추,평창읍,엽채류,0.1,2.7,2700,0.002896895,0.006847872
2000,생강,대관령면,조미채류,0,0,0,,
2000,생강,대화면,조미채류,0,0,0,,
2000,생강,미탄면,조미채류,0,0,0,,
2000,생강,방림면,조미채류,0,0,0,,
2000,생강,봉평면,조미채류,0,0,0,,
2000,생강,용평면,조미채류,0,0,0,,
2000,생강,진부면,조미채류,0,0,0,,
2000,생강,평창읍,조미채류,0,0,0,,
2000,수박,대관령면,과채류,0,0,0,0,0
2000,수박,대화면,과채류,0.3,9,3000,0.24420897,0.249252988
2000,수박,미탄면,과채류,0,0,0,0,0
2000,수박,방림면,과채류,0,0,0,0,0
2000,수박,봉평면,과채류,0,0,0,0,0
2000,수박,용평면,과채류,0,0,0,0,0
2000,수박,진부면,과채류,0,0,0,0,0
2000,수박,평창읍,과채류,9.3,288,3096.8,7.947631015,18.45774244
2000,수수,대관령면,잡곡,0,0,0,0,0
2000,수수,대화면,잡곡,8.1,7.5,92.6,2.20553885,2.251464036
2000,수수,미탄면,잡곡,7.8,8.1,103.8,3.232087557,4.209763384
2000,수수,방림면,잡곡,0.5,0.5,100,0.143777124,0.143610961
2000,수수,봉평면,잡곡,0,0,0,0,0
2000,수수,용평면,잡곡,0.8,0.9,112.5,0.270749423,0.284517091
2000,수수,진부면,잡곡,0.2,0.2,100,0.034249808,0.029775752
2000,수수,평창읍,잡곡,11.3,10.2,90.1,3.230148786,7.08585322
2000,시금치,대관령면,엽채류,0,0,0,,
2000,시금치,대화면,엽채류,0,0,0,,
2000,시금치,미탄면,엽채류,0,0,0,,
2000,시금치,방림면,엽채류,0,0,0,,
